Brand,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
OPPO,5,Rock Grey,4.3,8,256,6.7,50,5000,194936.0,21.0,31999.0
OPPO,5,Pearl White,4.6,12,256,6.7,50,4600,3451.0,11.0,39999.0
SAMSUNG,,Nightsky Green,4.3,4,64,6.6,50,6000,194936.0,50.0,7499.0
APPLE,,Blue,4.6,,128,6.1,48,,264489.0,16.0,66999.0
SAMSUNG,,Waterfall Blue,4.3,4,64,6.6,50,6000,194936.0,50.0,7499.0
APPLE,,Midnight,4.2,,128,6.1,12,,89734.0,17.0,57999.0
SAMSUNG,,Sunrise Copper,4.6,4,64,6.6,50,6000,3451.0,50.0,7499.0
SAMSUNG,,Opal Green,4.2,4,64,6.5,13,5000,89734.0,47.0,5999.0
APPLE,,Black,4.6,,128,6.1,48,,264489.0,16.0,66999.0
SAMSUNG,,Jade Purple,4.6,4,64,6.5,13,5000,264489.0,47.0,5999.0
APPLE,,Purple,4.6,,128,6.1,12,,3451.0,17.0,57999.0
APPLE,,Starlight,4.6,,128,6.1,12,,264489.0,17.0,57999.0
APPLE,,Green,4.6,,128,6.1,48,,1374.0,16.0,66999.0
APPLE,,Blue,4.2,,128,6.1,12,,46418.0,17.0,57999.0
APPLE,,Blue,4.2,,128,6.7,48,,46418.0,14.0,76999.0
MOTOROLA,5,Pearl Blue,4.3,8,128,6.5,50,6000,62300.0,22.0,13999.0
MOTOROLA,5,Midnight Blue,4.3,8,128,6.5,50,6000,62300.0,22.0,13999.0
realme,,Mint Green,4.2,4,64,6.74,50,5000,50496.0,18.0,8999.0
realme,,Mint Green,4.3,4,128,6.74,50,5000,62300.0,20.0,9499.0
MOTOROLA,5,Pearl Blue,4.3,12,256,6.5,50,6000,62300.0,27.0,15999.0
realme,,Carbon Black,4.3,4,64,6.74,50,5000,31680.0,18.0,8999.0
realme,,Carbon Black,4.3,4,128,6.74,50,5000,701.0,20.0,9499.0
MOTOROLA,,Black Beauty,4.2,12,256,6.55,50,5000,,16.0,24999.0
REDMI,5,Fusion Purple,3.0,8,256,6.67,200,5000,,5.0,31999.0
MOTOROLA,,Soothing Sea,4.4,8,128,6.55,50,5000,20612.0,17.0,22999.0
POCO,5,Power Black,4.3,6,128,6.79,50,5000,61402.0,29.0,11999.0
OPPO,5,Rock Grey,4.3,8,256,6.7,50,5000,58991.0,21.0,31999.0
OPPO,5,Pearl White,4.4,12,256,6.7,50,4600,311696.0,11.0,39999.0
vivo,5,Aurora Gold,4.3,8,128,6.58,50,5000,61402.0,28.0,14999.0
vivo,5,Glimmer Black,4.4,6,128,6.58,50,5000,311696.0,31.0,12999.0
POCO,5,Forest Green,4.4,6,128,6.79,50,5000,311696.0,29.0,11999.0
vivo,5,Marine Blue,4.4,6,128,6.58,50,5000,148034.0,31.0,12999.0
vivo,5,Aurora Gold,4.4,6,128,6.58,50,5000,148034.0,31.0,12999.0
vivo,5,Marine Blue,4.3,4,128,6.58,50,5000,58991.0,33.0,11999.0
vivo,5,Glimmer Black,4.4,4,128,6.58,50,5000,148034.0,33.0,11999.0
vivo,5,Marine Blue,4.3,8,128,6.58,50,5000,3274.0,28.0,14999.0
vivo,5,Aurora Gold,4.6,4,128,6.58,50,5000,1374.0,33.0,11999.0
POCO,5,Orion Blue,4.6,4,128,6.74,50,5000,264489.0,23.0,9999.0
APPLE,,Black,4.2,,128,6.7,48,,33534.0,14.0,76999.0
APPLE,,Purple,4.3,,256,6.1,12,,58991.0,14.0,67999.0
SAMSUNG,5,GOAT Green,4.0,4,128,6.6,50,6000,163658.0,40.0,10490.0
